id,name,director_actor,info,rating_score,rating_num,introduce,imgurl,recommend_score
1,肖申克的救赎,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins...,1994/美国/犯罪剧情,9.7,2255328人评价,希望让人自由。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,0.83802
2,霸王别姬,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung张丰毅FengyiZha...,1993/中国大陆中国香港/剧情爱情同性,9.6,1674540人评价,风华绝代。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,0.87562
3,阿甘正传,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks...,1994/美国/剧情爱情,9.5,1698361人评价,一部美国近现代史。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,0.87205
4,这个杀手不太冷,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno娜塔莉·波特曼...,1994/法国美国/剧情动作犯罪,9.4,1882512人评价,怪蜀黍和小萝莉不得不说的故事。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,0.87521
5,泰坦尼克号,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...,1997/美国/剧情爱情灾难,9.4,1657261人评价,失去的才是永恒的。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,0.89614
6,美丽人生,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...,1997/意大利/剧情喜剧爱情战争,9.5,1049706人评价,最美的谎言。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,0.92123
7,千与千寻,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiH?ragi入野自由Miy...,2001/日本/剧情动画奇幻,9.4,1775474人评价,最好的宫崎骏，最好的久石让。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,0.88581
8,辛德勒的名单,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...,1993/美国/剧情历史战争,9.5,867000人评价,拯救一个人，就是拯救整个世界。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,0.91474
9,盗梦空间,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...,2010/美国英国/剧情科幻悬疑冒险,9.3,1648062人评价,诺兰给了我们一场无法盗取的梦。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg,0.78733
10,忠犬八公的故事,导演:莱塞·霍尔斯道姆LasseHallstr?m主演:理查·基尔RichardGer...,2009/美国英国/剧情,9.4,1127847人评价,永远都不能忘记你所爱的人。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg,0.89084
11,星际穿越,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...,2014/美国英国加拿大/剧情科幻冒险,9.3,1320141人评价,爱是一种力量，让我们超越时空感知它的存在。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,0.82471
12,海上钢琴师,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth...,1998/意大利/剧情音乐,9.3,1341728人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,0.86192
13,楚门的世界,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey劳拉·琳妮Lau...,1998/美国/剧情科幻,9.3,1232490人评价,如果再也不能见到你，祝你早安，午安，晚安。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,0.90128
14,三傻大闹宝莱坞,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan卡...,2009/印度/剧情喜剧爱情歌舞,9.2,1502069人评价,英俊版憨豆，高情商版谢耳朵。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,0.81467
